Gene,ResNet50,DINOv2,UNI,Best
MALAT1,0.18887754,0.36132526,0.4017614,UNI
TFF3,0.16578071,0.20573246,0.35627493,UNI
MGP,0.13549548,0.16824849,0.3505679,UNI
C3,0.20658053,0.3792016,0.31924123,DINOv2
IGHG1,0.22892492,0.289663,0.28894967,DINOv2
ADIRF,0.12612262,0.21698704,0.28464067,UNI
IGHG4,0.18520468,0.29190862,0.2842482,DINOv2
IGLC2,0.27765852,0.27818733,0.2719174,DINOv2
TMSB10,0.20350024,0.25359002,0.2688012,UNI
IGKC,0.2410885,0.29284456,0.26805225,DINOv2
IGHG3,0.2695645,0.28604048,0.26800466,DINOv2
MT-ND1,0.030021887,0.123374045,0.234605,UNI
H2AFJ,0.10892078,0.17463179,0.23241165,UNI
TIMP1,0.17122878,0.28116181,0.2314005,DINOv2
MT-ND4,0.036529206,0.13210268,0.21450318,UNI
HLA-DRA,0.13778658,0.23650622,0.20902996,DINOv2
CSTA,0.034021936,0.040826272,0.201153,UNI
MT-ND3,0.010053686,0.08900644,0.19948672,UNI
HLA-B,0.04767441,0.14514144,0.19801886,UNI
MT-CO2,0.021973673,0.09389907,0.19051124,UNI
CD74,0.21299839,0.26747042,0.18954179,DINOv2
S100G,0.007814475,0.029873786,0.1868173,UNI
HLA-A,0.12718381,0.16514571,0.18109162,UNI
S100A6,0.13354726,0.12485665,0.17615616,UNI
B2M,0.06758742,0.17286398,0.17087997,DINOv2
MT-ND2,0.008194457,0.0835115,0.16857433,UNI
IGLC1,0.09807508,0.20365645,0.16433601,DINOv2
CPB1,0.1562972,0.16699031,0.16302444,DINOv2
FTL,0.13992475,0.24969904,0.15739787,DINOv2
APOE,0.15294,0.23363702,0.14753713,DINOv2
ALB,-0.0027248214,0.056225646,0.13847415,UNI
MT-CO3,0.0077251927,0.07995536,0.12718831,UNI
COX6C,-0.055551507,-0.009533987,0.11515938,UNI
MT-ATP6,-0.077674486,0.02416688,0.11183749,UNI
MT-CO1,-0.033821907,-0.05448816,0.051041335,UNI
LINC00645,-0.02714636,0.023874637,0.020988865,DINOv2
CALML5,0.04599876,-0.004345417,-0.009129518,ResNet50
KRT19,0.012285361,-0.035775736,-0.02031346,ResNet50
IFI27,-0.014400706,-0.046923593,-0.046855427,ResNet50
SLITRK6,-0.06209797,-0.09272588,-0.06212267,ResNet50
CRISP3,-0.033398394,-0.030004071,-0.06919422,DINOv2
IGFBP5,-0.07721564,-0.12568484,-0.0977625,ResNet50
RPLP1,-0.026782522,-0.12427865,-0.26346922,ResNet50
MUC1,-0.14003897,-0.1230664,-0.28004166,DINOv2
KRT18,-0.1629899,-0.24615817,-0.33650556,ResNet50
S100A11,-0.20026575,-0.24943766,-0.35010135,ResNet50
KRT8,-0.14264469,-0.2594938,-0.36019573,ResNet50
RPL41,-0.19559643,-0.3036234,-0.37856048,ResNet50
CXCL14,-0.15779914,-0.20636222,-0.37881705,ResNet50
CCND1,-0.32030675,-0.33187792,-0.41088787,ResNet50
